Signal Recording: Id=eda68de99dee4e9299d31c34fee9a5f9 (started 16:02:56 and finished 16:03:15)

Time	J1	J2	J3	J4	J5	J6
1.176	52.9738816931084	-17.3621359644973	52.9830546371637	190.401454209159	-45.6188129759477	-43.5638686018793
1.2	55.3738838089512	-17.4539456597733	53.0451376416245	189.65611664617	-45.3974294694746	-40.6831372816834
1.224	57.7738790946049	-17.5457519399548	53.1072206460854	188.910779083182	-45.176042547907	-37.8024059614876
1.248	60.1738777953531	-17.6375599276835	53.1693070656408	188.165441520193	-44.9546522112448	-34.9216746412918
1.272	62.5738696659122	-17.7293679154122	53.2313900701016	187.420117617583	-44.7332687047717	-32.0409399060013
1.296	64.9738751968496	-17.8211741955937	53.293476489657	186.674766394216	-44.5118783681095	-29.1602085858055
1.32	67.3738670674087	-17.9129821833224	53.3555594941179	185.929442491606	-44.2904914465419	-26.2794789731569
1.344	69.773865768157	-18.0047901710511	53.4176424985787	185.184118588996	-44.0691045249743	-23.3987459454138
1.368	72.1738644689052	-18.0965981587798	53.4797255030395	184.438767365629	-43.8477176034067	-20.5180146252179
1.392	74.5738563394643	-18.1884044389613	53.5418085075003	183.693443463019	-43.6263272667445	-17.6372850125694
1.416	76.9738550402125	-18.28021242669	53.6038915119612	182.948105900031	-43.4049403451768	-14.7565536923736
1.44	79.3738537409608	-18.3720204144187	53.665974516422	182.202768337042	-43.1835534236092	-11.8758223721777
1.464	81.7738592718982	-18.4638284021474	53.7280575208828	181.457444434432	-42.9621665020416	-8.99509019820822
1.488	84.1738511424573	-18.5556346823289	53.7901473555328	180.712106871444	-42.7407761653794	-6.11435887801238
1.512	86.5738498432055	-18.6474443776049	53.8522303599937	179.966769308455	-42.5193926589063	-3.23362777125995
1.536	88.9738417137646	-18.7392523653336	53.9143133644545	179.221431745467	-42.2980023222441	-0.352896397703254
1.56	91.3738404145129	-18.8310586455151	53.9763963689153	178.476107842856	-42.0766154006765	2.52783508257515
1.584	93.7738391152611	-18.9228666332438	54.0384793733762	177.73075661949	-41.8552284791089	5.40856597588417
